index,station,sitename,unit,first_year,last_year,notes
6118,11000,Matadi,1 omslag,1951,1959,11000 Matadi TSF 1951-1959
6119,11001,Banana,1 pak,1905,1920,11001 Banana (Boma) 1905-1920
6120,11001,Banana,1 omslag,1951,1959,11001 Banana 1951-1959
6121,11001,Binza,1 omslag,1928,1947,11001 Binza 1928-1947
6122,11001,Binza,1 omslag ,1955,1959,11001 Binza 1955-1959 Toelichting: bevat ook gegevens betreffende insolatie
6123,11002,Boma,1 pak,1909,1960,11002 Boma 1909-1960
6124,,Boma,1 pak,1911,1920,Boma km 5 1911-1920
6125,11002,Boma,1 omslag,1921,1939,11002 Boma Colonie scolaire 1921-1939
6126,11003,Boma,1 omslag,1933,1939,11003 Boma Colonie scolaire 1933-1939
6127,11003,Boma,1 pak,1937,1959,11003 Boma (Service de l'Hygiène) 1937-1959
6128,11004,Ganda,1 omslag,1909,1959,11004 Ganda-Sundi 1909-1959
6129,11004,Ganda,1 omslag,1933,1939,11004 Ganda-Sundi 1933-1939
6130,11005,Kangu,1 omslag,1931,1939,11005 Kangu 1931-1939
6131,11005,Kangu,1 omslag,1931,1959,11005 Kangu 1931-1959
6132,11006,Kimbenza,1 omslag,1928,1939,11006 Kimbenza (Benza-Masola) 1928-1939
6133,11006,Kimbenza,1 omslag,1928,1959,11006 Kimbenza (Benza-Masola) 1928-1959
6134,11007,Kimpako,1 omslag,1936,1938,11007 Kimpako 1936-1938
6135,11007,Kimpako,1 omslag,1936,1959,11007 Kimpako 1936-1959
6136,11008,Kimvula,1 omslag,1928,1939,11008 Kimvula 1928-1939
6137,11008,Kimvula,1 omslag,1928,1956,11008 Kimvula 1928-1956
6138,11008,Molanga,1 omslag,1958,1959,11008 Molanga 1958-1959
6139,11009,Kisantu,1 omslag,1933,1959,11009 Kisantu 1933-1959
6140,11009,Kisantu,1 pak ,1101,1101,11009-11011 Kisantu (Cadulac) 1934-1939 Toelichting: betreft drie waarnemingsposten
6141,11010,Kisantu,1 omslag,1935,1947,11010 Kisantu-Nianga 1935-1947
6142,11010,Celo,1 omslag,1949,1959,11010 Celo Zongo 1949-1959
6143,11011,Kiyanika,1 omslag,1938,1947,11011 Kiyanika 1938-1947
6144,11011,Gandu,1 omslag,1949,1959,11011 Gandu 1949-1959
6145,11012,Kitobola,1 omslag,1908,1919,11012 Kitobola 1908-1919 1930-1939
6146,11012,Kitobola,1 pak,1940,1959,11012 Kitobola 1940-1959
6147,11013,Kitomesa,1 omslag,1931,1939,11013 Kitomesa 1931-1939
6148,11013,Kitomesa,1 omslag,1940,1959,11013 Kitomesa 1940-1959
6149,,Kolo,1 omslag,1922,1924,Kolo 1922-1924
6150,11014,Kolo,1 omslag,1922,1939,11014 Kolo 1922-1939
6151,11014,Kolo,1 omslag,1923,1925,11014 Kolo 1923-1925 1931-1938
6152,11014,Kolo,1 omslag,1940,1959,11014 Kolo 1940-1959
6153,11015,Kisantu,1 pak,1914,1939,11015 Kisantu 1914-1939
6154,11015,Kisantu,1 omslag,1940,1959,11015 Kisantu (Missie) 1940-1959
6155,11016,Lemfu,1 omslag,1910,1959,11016 Lemfu 1910-1959
6156,11016,Lemfu,1 omslag,1912,1939,11016 Lemfu 1912-1939
6157,11017,Luki,1 omslag,1928,1939,11017 Luki 1928-1939
6158,11017,Luki,1 pak,1928,1959,11017 Luki 1928-1959
6159,11018,Luozi,1 omslag,1934,1939,11018 Luozi 1934-1939
6160,11018,Luozi,1 omslag,1940,1959,11018 Luozi 1940-1959
6161,11019,Madimba,1 omslag,1930,1939,11019 Madimba 1930-1939
6162,11019,Madimba,1 omslag,1940,1959,11019 Madimba 1940-1959
6163,,Matadi,3 stukken ,1920,1922,Matadi 1920-1922 Toelichting: bevat enkel briefwisseling
6164,11020,Matadi,1 omslag,1932,1939,11020 Matadi 1932-1939
6165,11020,Matadi,1 pak,1932,1959,11020 Matadi 1932-1959
6166,11021,Moanda,1 omslag,1934,1939,11021 Moanda 1934-1939
6167,11021,Moanda,1 omslag,1934,1959,11021 Moanda 1934-1959
6168,11022,Moerbeke,1 omslag,1930,1939,11022 Moerbeke-Kwilu 1930-1939
6169,11022,Moerbeke,1 pak,1930,1959,11022 Moerbeke-Kwilu 1930-1959
6170,11023,Moenge,1 omslag,1928,1948,11023 Moenge 1928-1948
6171,11023,Kikiazi,1 omslag,1952,1959,11023 Kikiazi 1952-1959
6172,11024,Ngidinga,1 omslag,1931,1939,11024 Ngidinga 1931-1939
6173,11024,Ngidinga,1 omslag,1931,1955,11024 Ngidinga 1931-1955
6174,11024,Ngeba,1 omslag,1957,1959,11024 Ngeba 1957-1959
6175,11025,Sona,1 omslag,1913,1939,11025 Sona-Bata 1913-1939
6176,11025,Sona,1 pak,1913,1959,11025 Sona-Bata 1913-1959
6177,11026,Temvo,1 omslag,1928,1959,11026 Temvo 1928-1959
6178,11026,Temvo,1 omslag,1931,1939,11026 Temvo 1931-1939
6179,11027,Thysstad,1 pak,1922,1955,11027 Thysstad 1922 1930-1955
6180,11027,Thysstad,1 omslag,1932,1939,11027 Thysstad 1932-1939
6181,11027,Konzo,1 omslag,1957,1959,11027 Konzo 1957-1959
6182,11028,Tshela,1 omslag,1930,1939,11028 Tshela 1930-1939
6183,11028,Tshela,1 pak,1930,1959,11028 Tshela 1930-1959
6184,11029,Tumba,1 omslag,1932,1939,11029 Tumba 1932-1939
6185,11029,Tumba,1 pak,1932,1959,11029 Tumba 1932-1959
6186,11030,Zobe,1 pak,1931,1959,11030 Zobe 1931-1959
6187,11030,Zobe,1 omslag,1934,1939,11030 Zobe 1934-1939
6188,11031,Mvuazi,1 pak,1936,1953,11031 Mvuazi Poste 1936-1953
6189,11032,Lukula,1 omslag,1930,1939,11032 Lukula 1930-1939
