file,folder,field,value,consensus
capture_10.jpg,6118,location,Matadi,1
capture_10.jpg,6118,month,Juin,1
capture_10.jpg,6118,year,59,1
capture_100.jpg,6118,location,Matadi,1
capture_100.jpg,6118,month,Decembre,1
capture_100.jpg,6118,year,52,0.8
capture_101.jpg,6118,location,Matadi,1
capture_101.jpg,6118,month,Novembre,1
capture_101.jpg,6118,year,51,1
capture_102.jpg,6118,location,Matadi,1
capture_102.jpg,6118,month,Oktobre,1
capture_102.jpg,6118,year,51,0.9
capture_103.jpg,6118,location,Matadi,1
capture_103.jpg,6118,month,Septembre,1
capture_103.jpg,6118,year,51,0.8
capture_104.jpg,6118,location,Matadi,1
capture_104.jpg,6118,month,Aout,1
capture_104.jpg,6118,year,51,1
capture_105.jpg,6118,location,Matadi,1
capture_105.jpg,6118,month,Juillet,1
capture_105.jpg,6118,year,51,1
capture_106.jpg,6118,location,Matadi,1
capture_106.jpg,6118,month,Juin,0.9
capture_106.jpg,6118,year,51,0.9
capture_107.jpg,6118,location,Matadi,1
capture_107.jpg,6118,month,Mai,1
capture_107.jpg,6118,year,51,0.8
capture_108.jpg,6118,location,Matadi,1
capture_108.jpg,6118,month,Avril,1
capture_108.jpg,6118,year,51,1
capture_109.jpg,6118,location,Matadi,1
capture_109.jpg,6118,month,Mars,1
capture_109.jpg,6118,year,51,1
capture_11.jpg,6118,location,Matadi,1
capture_11.jpg,6118,month,Mai,1
capture_11.jpg,6118,year,59,1
capture_110.jpg,6118,location,Matadi,1
capture_110.jpg,6118,month,Fevrier,1
capture_110.jpg,6118,year,51,1
capture_111.jpg,6118,location,Matadi,1
capture_111.jpg,6118,month,Janvier,1
capture_111.jpg,6118,year,51,1
capture_12.jpg,6118,location,Matadi,1
capture_12.jpg,6118,month,Avril,1
capture_12.jpg,6118,year,59,0.93
capture_13.jpg,6118,location,Matadi,1
capture_13.jpg,6118,month,Mars,0.87
capture_13.jpg,6118,year,59,1
capture_14.jpg,6118,location,Matadi,1
capture_14.jpg,6118,month,Fevrier,0.87
capture_14.jpg,6118,year,59,1
capture_15.jpg,6118,location,Matadi,1
capture_15.jpg,6118,month,Janvier,1
capture_15.jpg,6118,year,59,0.93
capture_16.jpg,6118,location,Matadi,1
capture_16.jpg,6118,month,Decembre,1
capture_16.jpg,6118,year,58,0.87
capture_17.jpg,6118,location,Matadi,1
capture_17.jpg,6118,month,Novembre,1
capture_17.jpg,6118,year,58,1
capture_18.jpg,6118,location,Matadi,1
capture_18.jpg,6118,month,Oktobre,1
capture_18.jpg,6118,year,58,1
capture_19.jpg,6118,location,Matadi,1
capture_19.jpg,6118,month,Septembre,1
capture_19.jpg,6118,year,58,1
capture_20.jpg,6118,location,Matadi,1
capture_20.jpg,6118,month,Aout,1
capture_20.jpg,6118,year,58,1
capture_21.jpg,6118,location,Matadi,1
capture_21.jpg,6118,month,Juillet,1
capture_21.jpg,6118,year,58,1
capture_22.jpg,6118,location,Matadi,1
capture_22.jpg,6118,month,Juin,1
capture_22.jpg,6118,year,58,1
capture_23.jpg,6118,location,Matadi,1
capture_23.jpg,6118,month,Mai,1
capture_23.jpg,6118,year,58,1
capture_24.jpg,6118,location,Matadi,1
capture_24.jpg,6118,month,Avril,1
capture_24.jpg,6118,year,58,1
capture_25.jpg,6118,location,Matadi,1
capture_25.jpg,6118,month,Mars,1
capture_25.jpg,6118,year,58,1
capture_26.jpg,6118,location,Matadi,1
capture_26.jpg,6118,month,Fevrier,0.93
capture_26.jpg,6118,year,58,1
capture_27.jpg,6118,location,Matadi,1
capture_27.jpg,6118,month,Janvier,1
capture_27.jpg,6118,year,58,1
capture_28.jpg,6118,location,Matadi,1
capture_28.jpg,6118,month,Decembre,1
capture_28.jpg,6118,year,57,1
capture_29.jpg,6118,location,Matadi,1
capture_29.jpg,6118,month,Novembre,0.93
capture_29.jpg,6118,year,57,0.87
capture_30.jpg,6118,location,Matadi,1
capture_30.jpg,6118,month,Oktobre,1
capture_30.jpg,6118,year,57,1
capture_31.jpg,6118,location,Matadi,1
